"DATE","TIME PERIOD","Government debt (consolidated) (as % of GDP) (GFS.Q.N.FR.W0.S13.S1.C.L.LE.GD.T._Z.XDC_R_B1GQ_CY._T.F.V.N._T)"
"1999-03-31","1999Q1","60.228"
"1999-06-30","1999Q2","59.523"
"1999-09-30","1999Q3","59.731"
"1999-12-31","1999Q4","59.062"
"2000-03-31","2000Q1","60.377"
"2000-06-30","2000Q2","60.425"
"2000-09-30","2000Q3","59.937"
"2000-12-31","2000Q4","59.721"
"2001-03-31","2001Q1","58.750"
"2001-06-30","2001Q2","59.717"
"2001-09-30","2001Q3","59.858"
"2001-12-31","2001Q4","59.322"
"2002-03-31","2002Q1","59.731"
"2002-06-30","2002Q2","61.008"
"2002-09-30","2002Q3","60.675"
"2002-12-31","2002Q4","61.256"
"2003-03-31","2003Q1","62.785"
"2003-06-30","2003Q2","65.009"
"2003-09-30","2003Q3","65.552"
"2003-12-31","2003Q4","65.364"
"2004-03-31","2004Q1","65.960"
"2004-06-30","2004Q2","67.181"
"2004-09-30","2004Q3","66.822"
"2004-12-31","2004Q4","66.879"
"2005-03-31","2005Q1","67.693"
"2005-06-30","2005Q2","68.082"
"2005-09-30","2005Q3","67.775"
"2005-12-31","2005Q4","68.186"
"2006-03-31","2006Q1","68.013"
"2006-06-30","2006Q2","67.099"
"2006-09-30","2006Q3","67.015"
"2006-12-31","2006Q4","65.401"
"2007-03-31","2007Q1","66.591"
"2007-06-30","2007Q2","67.551"
"2007-09-30","2007Q3","66.891"
"2007-12-31","2007Q4","65.477"
"2008-03-31","2008Q1","67.007"
"2008-06-30","2008Q2","67.362"
"2008-09-30","2008Q3","67.840"
"2008-12-31","2008Q4","69.819"
"2009-03-31","2009Q1","74.656"
"2009-06-30","2009Q2","79.962"
"2009-09-30","2009Q3","82.583"
"2009-12-31","2009Q4","84.056"
"2010-03-31","2010Q1","85.939"
"2010-06-30","2010Q2","88.150"
"2010-09-30","2010Q3","86.256"
"2010-12-31","2010Q4","86.278"
"2011-03-31","2011Q1","87.531"
"2011-06-30","2011Q2","89.024"
"2011-09-30","2011Q3","88.264"
"2011-12-31","2011Q4","88.749"
"2012-03-31","2012Q1","91.093"
"2012-06-30","2012Q2","92.631"
"2012-09-30","2012Q3","91.338"
"2012-12-31","2012Q4","91.742"
"2013-03-31","2013Q1","93.599"
"2013-06-30","2013Q2","95.151"
"2013-09-30","2013Q3","94.169"
"2013-12-31","2013Q4","94.558"
"2014-03-31","2014Q1","96.168"
"2014-06-30","2014Q2","96.821"
"2014-09-30","2014Q3","96.754"
"2014-12-31","2014Q4","96.164"
"2015-03-31","2015Q1","98.070"
"2015-06-30","2015Q2","98.328"
"2015-09-30","2015Q3","97.806"
"2015-12-31","2015Q4","96.978"
"2016-03-31","2016Q1","98.940"
"2016-06-30","2016Q2","99.702"
"2016-09-30","2016Q3","99.082"
"2016-12-31","2016Q4","98.173"
"2017-03-31","2017Q1","100.558"
"2017-06-30","2017Q2","101.249"
"2017-09-30","2017Q3","100.364"
"2017-12-31","2017Q4","98.779"
"2018-03-31","2018Q1","99.320"
"2018-06-30","2018Q2","99.409"
"2018-09-30","2018Q3","99.598"
"2018-12-31","2018Q4","98.553"
"2019-03-31","2019Q1","99.535"
"2019-06-30","2019Q2","99.254"
"2019-09-30","2019Q3","100.029"
"2019-12-31","2019Q4","98.178"
"2020-03-31","2020Q1","101.268"
"2020-06-30","2020Q2","113.106"
"2020-09-30","2020Q3","115.355"
"2020-12-31","2020Q4","114.917"
"2021-03-31","2021Q1","117.687"
"2021-06-30","2021Q2","114.330"
"2021-09-30","2021Q3","115.303"
"2021-12-31","2021Q4","112.792"
"2022-03-31","2022Q1","114.358"
"2022-06-30","2022Q2","112.808"
"2022-09-30","2022Q3","113.003"
"2022-12-31","2022Q4","111.320"
"2023-03-31","2023Q1","111.944"
"2023-06-30","2023Q2","111.415"
"2023-09-30","2023Q3","111.469"
"2023-12-31","2023Q4","109.978"
"2024-03-31","2024Q1","110.786"
"2024-06-30","2024Q2","112.435"
"2024-09-30","2024Q3","113.828"
