"DATE","TIME PERIOD","Euribor 1-year - Historical close, average of observations through period (FM.A.U2.EUR.RT.MM.EURIBOR1YD_.HSTA)"
"1994-12-31","1994","6.8167"
"1995-12-31","1995","7.1067"
"1996-12-31","1996","5.1067"
"1997-12-31","1997","4.4192"
"1998-12-31","1998","3.9058"
"1999-12-31","1999","3.1833"
"2000-12-31","2000","4.7890"
"2001-12-31","2001","4.0862"
"2002-12-31","2002","3.4926"
"2003-12-31","2003","2.3339"
"2004-12-31","2004","2.2746"
"2005-12-31","2005","2.3328"
"2006-12-31","2006","3.4360"
"2007-12-31","2007","4.4500"
"2008-12-31","2008","4.8260"
"2009-12-31","2009","1.6103"
"2010-12-31","2010","1.3533"
"2011-12-31","2011","2.0078"
"2012-12-31","2012","1.1142"
"2013-12-31","2013","0.5360"
"2014-12-31","2014","0.4751"
"2015-12-31","2015","0.1677"
"2016-12-31","2016","-0.0349"
"2017-12-31","2017","-0.1452"
"2018-12-31","2018","-0.1730"
"2019-12-31","2019","-0.2173"
"2020-12-31","2020","-0.3057"
"2021-12-31","2021","-0.4906"
"2022-12-31","2022","1.0997"
"2023-12-31","2023","3.8647"
"2024-12-31","2024","3.2729"
